Experiment,High AAE FPR,Middle FPR,Low AAE FPR,High AAE FNR,Middle FNR,Low AAE FNR,High-Low FPR Gap
Zero-Shot,0.9291338582677166,0.8519078201737816,0.4820359281437126,0.0,0.0614035087719298,0.0759493670886076,0.44709793012400395
Simple Prompt,0.5371900826446281,0.4614203454894434,0.2895125553914328,0.0,0.1111111111111111,0.1463414634146341,0.2476775272531953
Structured Decision Prompting,0.5968992248062015,0.3673848439821694,0.250733137829912,0.0,0.1532258064516129,0.2261904761904762,0.3461660869762895
