Experiment,Accuracy,Precision,Recall,F1,Total Predictions,Refusals,Refusal Rate
Zero-Shot,0.2558395163506458,0.0639110802361931,0.934010152284264,0.1196358907672301,3717,78,2.0984665052461664
Simple Prompt,0.5874688106459661,0.1090133982947624,0.8774509803921569,0.1939328277356446,3717,110,2.9593758407317727
Structured Decision Prompting,0.6569814366424536,0.124557678697806,0.822429906542056,0.2163491087891825,3717,0,0.0
