rows,accuracy,precision,recall,f1,FPR,FNR,TPR,TNR,Dialect
135,0.9481481481481482,0.0,0.0,0.0,0.007751937984496124,1.0,0.0,0.9922480620155039,high_aae
766,0.8968668407310705,0.5274725274725275,0.5714285714285714,0.5485714285714286,0.06304985337243402,0.42857142857142855,0.5714285714285714,0.9369501466275659,low_aae
2816,0.9577414772727273,0.5373134328358209,0.2903225806451613,0.3769633507853403,0.011515601783060922,0.7096774193548387,0.2903225806451613,0.9884843982169391,middle
