,precision,recall,f1-score,support
0,0.9634626194491287,0.9785897801884099,0.9709672850870982,3503.0
1,0.5283018867924528,0.3925233644859813,0.450402144772118,214.0
accuracy,0.9448479956954533,0.9448479956954533,0.9448479956954533,0.9448479956954533
macro avg,0.7458822531207907,0.6855565723371956,0.710684714929608,3717.0
weighted avg,0.9384089749001567,0.9448479956954533,0.9409966259460152,3717.0
