Experiment,Accuracy,Precision,Recall,F1,High AAE FPR,Middle FPR,Low AAE FPR,High-Low Gap
Zero-Shot,0.2558395163506458,0.0639110802361931,0.934010152284264,0.1196358907672301,0.9291338582677166,0.8519078201737816,0.4820359281437126,0.44709793012400395
Simple Prompt,0.5874688106459661,0.1090133982947624,0.8774509803921569,0.1939328277356446,0.5371900826446281,0.4614203454894434,0.2895125553914328,0.2476775272531953
Structured Prompt,0.6569814366424536,0.124557678697806,0.822429906542056,0.2163491087891825,0.5968992248062015,0.3673848439821694,0.250733137829912,0.3461660869762895
RoBERTa,0.9448479956954532,0.5283018867924528,0.3925233644859813,0.450402144772118,0.0077519379844961,0.0115156017830609,0.063049853372434,-0.05529791538793791
