Experiment,High AAE FPR,Middle FPR,Low AAE FPR,High-Low Gap
Zero-Shot,0.9291338582677166,0.8519078201737816,0.4820359281437126,0.44709793012400395
Simple Prompt,0.5371900826446281,0.4614203454894434,0.2895125553914328,0.2476775272531953
Structured Prompt,0.5968992248062015,0.3673848439821694,0.250733137829912,0.3461660869762895
RoBERTa,0.0077519379844961,0.0115156017830609,0.063049853372434,-0.05529791538793791
