,precision,recall,f1-score,support
not_hate,0.9835069444444444,0.6468741079075079,0.7804374031341484,3503.0
hate,0.12455767869780608,0.822429906542056,0.21634910878918254,214.0
accuracy,0.6569814366424536,0.6569814366424536,0.6569814366424536,0.6569814366424536
macro avg,0.5540323115711252,0.734652007224782,0.4983932559616655,3717.0
weighted avg,0.9340543905381273,0.6569814366424536,0.7479609718751162,3717.0
