,precision,recall,f1-score,support
not_hate,0.9828947368421053,0.2170249854735619,0.3555449785816278,3442.0
hate,0.06391108023619312,0.934010152284264,0.11963589076723016,197.0
accuracy,0.2558395163506458,0.2558395163506458,0.2558395163506458,0.2558395163506458
macro avg,0.5234029085391492,0.5755175688789129,0.23759043467442897,3639.0
weighted avg,0.9331448659019116,0.2558395163506458,0.34277386280821853,3639.0
