,precision,recall,f1-score,support
not_hate,0.9872773536895675,0.5700852189244784,0.7228017883755589,3403.0
hate,0.10901339829476249,0.8774509803921569,0.19393282773564463,204.0
accuracy,0.5874688106459661,0.5874688106459661,0.5874688106459661,0.5874688106459661
macro avg,0.548145375992165,0.7237680996583176,0.4583673080556018,3607.0
weighted avg,0.9376056467584502,0.5874688106459661,0.6928907077072632,3607.0
